number,district_sector,latitude,longitude,month,summarized_offense_description,zone_beat,violence_offense_description
0,D,47.620815277,-122.332344055,3,Public Offense,D3,other
1,S,47.53314209,-122.269989014,3,Public Offense,S2,other
2,O,47.575576782,-122.333740234,3,TRAFFIC,O2,other
3,F,47.526882172,-122.320274353,3,Court Violation,F3,other
4,C,47.623683929,-122.31464386,3,Violence,C1,violence
5,N,47.708656311,-122.33265686,3,Drugs,N3,other
6,D,47.614215851,-122.34197998,3,Violence,D2,violence
7,B,47.668052673,-122.379615784,3,Court Violation,B1,other
8,U,47.661296844,-122.317108154,3,Theft,U2,other
9,W,47.580734253,-122.381256104,3,Drugs,W1,other
10,B,47.661365509,-122.329566956,3,Theft,B3,other
11,N,47.697067261,-122.340797424,3,Violence,N3,violence
12,U,47.661296844,-122.317108154,3,Theft,U2,other
13,M,47.609653473,-122.333099365,3,Theft,M3,other
14,M,47.609653473,-122.333099365,3,Theft,M3,other
15,B,47.664459229,-122.380912781,3,Drugs,B1,other
16,B,47.664459229,-122.380912781,3,Drugs,B1,other
17,M,47.608753204,-122.336891174,3,Violence,M3,violence
18,Q,47.652839661,-122.389198303,3,Theft,Q1,other
19,K,47.602413177,-122.331085205,3,Public Offense,K2,other
20,O,47.551898956,-122.334220886,3,Theft,O2,other
21,M,47.608753204,-122.336891174,3,Violence,M3,violence
22,G,47.597499847,-122.317230225,3,Violence,G1,violence
23,E,47.620826721,-122.326576233,3,Violence,E1,violence
24,G,47.596652985,-122.313438416,3,Court Violation,G3,other
25,F,47.529811859,-122.322860718,3,Drugs,F3,other
26,L,47.729167938,-122.293701172,3,Theft,L1,other
27,L,47.729167938,-122.293701172,3,Theft,L1,other
28,U,47.681236267,-122.309364319,3,Fraud,U1,other
29,Q,47.624580383,-122.356712341,3,Property,Q3,other
30,L,47.717338562,-122.292785645,3,Theft,L3,other
31,R,47.579673767,-122.299156189,3,Court Violation,R2,other
32,U,47.683952332,-122.288398743,3,Public Offense,U3,other
33,N,47.731399536,-122.343391418,3,Fraud,N2,other
34,Q,47.652839661,-122.389198303,3,Theft,Q1,other
35,F,47.535514832,-122.3621521,3,Theft,F1,other
36,J,47.691505432,-122.355308533,3,Fraud,J1,other
37,D,47.616054535,-122.336166382,3,Theft,D2,other
38,D,47.614704132,-122.344795227,3,Violence,D1,violence
39,D,47.614704132,-122.344795227,3,Violence,D1,violence
40,B,47.665019989,-122.345291138,3,Violence,B3,violence
41,R,47.574768066,-122.296127319,3,Public Offense,R2,other
42,R,47.574768066,-122.296127319,3,Public Offense,R2,other
43,K,47.600452423,-122.327659607,3,Violence,K3,violence
44,S,47.542469025,-122.274093628,3,Court Violation,S2,other
45,N,47.714984894,-122.328781128,3,Theft,N2,other
46,O,47.586170197,-122.329063416,3,Drugs,O1,other
47,U,47.658489227,-122.320838928,3,Fraud,U2,other
48,K,47.60004425,-122.334823608,3,Violence,K2,violence
49,B,47.652359009,-122.354980469,3,Fraud,B2,other
50,F,47.521026611,-122.36730957,3,Theft,F2,other
51,J,47.675914764,-122.326538086,3,Property,J3,other
52,L,47.723865509,-122.304580688,3,Theft,L1,other
53,D,47.616054535,-122.336166382,3,Fraud,D2,other
54,M,47.61120224,-122.339118958,3,Theft,M1,other
55,E,47.609016418,-122.329452515,3,Theft,E3,other
56,L,47.726680756,-122.316085815,3,Fraud,L1,other
57,B,47.660015106,-122.363998413,3,Theft,B2,other
58,B,47.660015106,-122.363998413,3,Theft,B2,other
59,G,47.608055115,-122.316116333,3,Theft,G1,other
60,G,47.608055115,-122.316116333,3,Theft,G1,other
61,O,47.578769684,-122.335128784,3,Fraud,O1,other
62,M,47.61283493,-122.34262085,3,Theft,M1,other
63,99,47.759605408,-122.344230652,3,Court Violation,99,other
64,D,47.616634369,-122.352027893,3,Fraud,D1,other
65,U,47.65908432,-122.315498352,3,Fraud,U2,other
66,E,47.623699188,-122.320930481,3,Theft,E1,other
67,J,47.682250977,-122.386451721,3,Theft,J2,other
68,J,47.682250977,-122.386451721,3,Theft,J2,other
69,K,47.604873657,-122.328735352,3,Violence,K1,violence
70,K,47.604873657,-122.328735352,3,Violence,K1,violence
71,K,47.604873657,-122.328735352,3,Violence,K1,violence
72,F,47.518287659,-122.367279053,3,Theft,F2,other
73,D,47.612888336,-122.343704224,3,Theft,D1,other
74,J,47.69978714,-122.355400085,3,Property,J1,other
75,W,47.575904846,-122.410743713,3,Theft,W1,other
76,G,47.604129791,-122.323440552,3,ANIMAL COMPLAINT,G1,other
77,G,47.604129791,-122.323440552,3,ANIMAL COMPLAINT,G1,other
78,U,47.664581299,-122.283157349,3,Theft,U3,other
79,R,47.554618835,-122.293952942,3,Theft,R1,other
80,R,47.554618835,-122.293952942,3,Theft,R1,other
81,R,47.554618835,-122.293952942,3,Theft,R1,other
82,U,47.657588959,-122.31438446,3,Court Violation,U2,other
83,F,47.538272858,-122.368995667,3,Theft,F1,other
84,F,47.538272858,-122.368995667,3,Theft,F1,other
85,F,47.538272858,-122.368995667,3,Theft,F1,other
86,D,47.612888336,-122.343704224,3,Theft,D1,other
87,D,47.612888336,-122.343704224,3,Theft,D1,other
88,N,47.690498352,-122.33644104,3,Drugs,N3,other
89,G,47.594215393,-122.310256958,3,Public Offense,G3,other
90,K,47.602413177,-122.331085205,3,Violence,K2,violence
91,K,47.602413177,-122.331085205,3,Violence,K2,violence
92,K,47.602413177,-122.331085205,3,Violence,K2,violence
93,K,47.602413177,-122.331085205,3,Violence,K2,violence
94,M,47.611709595,-122.331443787,3,Theft,M2,other
95,M,47.611709595,-122.331443787,3,Theft,M2,other
96,M,47.611709595,-122.331443787,3,Theft,M2,other
97,S,47.520317078,-122.261146545,3,Theft,S3,other
98,S,47.520317078,-122.261146545,3,Theft,S3,other
99,E,47.613517761,-122.320770264,3,Theft,E2,other
100,M,47.609783173,-122.339355469,3,Theft,M1,other
101,M,47.609783173,-122.339355469,3,Theft,M1,other
102,M,47.609783173,-122.339355469,3,Theft,M1,other
103,J,47.692409515,-122.352622986,3,Theft,J1,other
104,W,47.560211182,-122.385482788,3,Drugs,W2,other
105,W,47.560211182,-122.385482788,3,Drugs,W2,other
106,B,47.658306122,-122.322998047,3,Violence,B3,violence
107,B,47.658306122,-122.322998047,3,Violence,B3,violence
108,99,47.501831055,-122.339645386,3,Fraud,99,other
109,E,47.614685059,-122.316848755,3,Violence,E2,violence
110,M,47.611320496,-122.33731842,3,Court Violation,M3,other
111,M,47.611320496,-122.33731842,3,Court Violation,M3,other
112,C,47.621334076,-122.294288635,3,Theft,C3,other
113,N,47.704216003,-122.380622864,3,Theft,N1,other
114,N,47.704216003,-122.380622864,3,Theft,N1,other
115,M,47.611206055,-122.337593079,3,Theft,M2,other
116,M,47.611206055,-122.337593079,3,Theft,M2,other
117,M,47.611206055,-122.337593079,3,Theft,M2,other
118,M,47.611206055,-122.337593079,3,Theft,M2,other
119,W,47.562065125,-122.393478394,3,Theft,W2,other
120,L,47.725608826,-122.296394348,3,Fraud,L1,other
121,G,47.602603912,-122.295982361,3,Fraud,G2,other
122,U,47.66645813,-122.301940918,3,Theft,U1,other
123,U,47.66645813,-122.301940918,3,Theft,U1,other
124,K,47.606086731,-122.33290863,3,Violence,K1,violence
125,M,47.610973358,-122.338150024,3,Theft,M2,other
126,M,47.610973358,-122.338150024,3,Theft,M2,other
127,M,47.610973358,-122.338150024,3,Theft,M2,other
128,M,47.615337372,-122.335945129,3,Public Offense,M2,other
129,M,47.615337372,-122.335945129,3,Public Offense,M2,other
130,L,47.708602905,-122.324615479,3,Theft,L2,other
131,R,47.586917877,-122.302688599,3,Property,R2,other
132,R,47.586917877,-122.302688599,3,Property,R2,other
133,M,47.611320496,-122.33731842,3,Theft,M2,other
134,C,47.617042542,-122.312759399,3,Theft,C1,other
135,C,47.617042542,-122.312759399,3,Theft,C1,other
136,W,47.561092377,-122.383476257,3,Fraud,W2,other
137,W,47.561092377,-122.383476257,3,Fraud,W2,other
138,K,47.590309143,-122.329048157,3,Court Violation,K2,other
139,L,47.69405365,-122.324386597,3,Fraud,L2,other
140,U,47.668991089,-122.311882019,3,Violence,U1,violence
141,L,47.693092346,-122.316246033,3,Fraud,L2,other
142,F,47.525627136,-122.324943542,3,Violence,F3,violence
143,G,47.60477829,-122.31678009,3,Theft,G1,other
144,G,47.60477829,-122.31678009,3,Theft,G1,other
145,W,47.510871887,-122.373771667,3,Theft,W3,other
146,K,47.600883484,-122.333526611,3,Violence,K2,violence
147,K,47.600883484,-122.333526611,3,Violence,K2,violence
148,C,47.622531891,-122.314666748,3,Theft,C1,other
149,C,47.622531891,-122.314666748,3,Theft,C1,other
150,C,47.622531891,-122.314666748,3,Theft,C1,other
151,W,47.567428589,-122.3828125,3,Theft,W2,other
152,E,47.613437653,-122.327362061,3,Violence,E3,violence
153,E,47.613437653,-122.327362061,3,Violence,E3,violence
154,F,47.520133972,-122.369979858,3,Court Violation,F2,other
155,F,47.520133972,-122.369979858,3,Court Violation,F2,other
156,U,47.663970947,-122.309486389,3,Fraud,U1,other
157,D,47.638072968,-122.340820313,3,Property,D2,other
158,F,47.523735046,-122.348007202,3,Public Offense,F3,other
159,F,47.523735046,-122.348007202,3,Public Offense,F3,other
160,N,47.709629059,-122.356819153,3,Theft,N1,other
161,J,47.704349518,-122.352752686,3,Court Violation,J1,other
162,E,47.60982132,-122.326347351,3,Public Offense,E3,other
163,E,47.60982132,-122.326347351,3,Public Offense,E3,other
164,O,47.572704315,-122.334213257,3,Theft,O1,other
165,E,47.61523056,-122.321464539,3,Theft,E2,other
166,K,47.602661133,-122.332847595,3,Violence,K1,violence
167,K,47.602661133,-122.332847595,3,Violence,K1,violence
168,C,47.619689941,-122.302520752,3,Theft,C2,other
169,B,47.661399841,-122.353027344,3,Theft,B2,other
170,D,47.615886688,-122.337875366,3,Property,D2,other
171,R,47.57075882,-122.291007996,3,Fraud,R2,other
172,N,47.694171906,-122.341873169,3,Theft,N3,other
173,L,47.708602905,-122.324615479,3,Theft,L2,other
174,M,47.614505768,-122.33467865,3,Court Violation,M2,other
175,N,47.692024231,-122.348571777,3,Theft,N3,other
176,W,47.561141968,-122.388809204,3,Fraud,W2,other
177,B,47.669589996,-122.335899353,3,Theft,B3,other
178,N,47.722324371,-122.355545044,3,Theft,N1,other
179,R,47.573055267,-122.314819336,3,Theft,R1,other
180,N,47.691291809,-122.345870972,3,Theft,N3,other
181,B,47.650009155,-122.34979248,3,Violence,B2,violence
182,B,47.650009155,-122.34979248,3,Violence,B2,violence
183,D,47.645069122,-122.324623108,3,Theft,D3,other
184,W,47.540122986,-122.375213623,3,Theft,W3,other
185,W,47.540122986,-122.375213623,3,Theft,W3,other
186,J,47.699642181,-122.352706909,3,Theft,J1,other
187,C,47.638729095,-122.304779053,3,Theft,C2,other
188,J,47.690940857,-122.349914551,3,Theft,J1,other
189,J,47.696933746,-122.355369568,3,Property,J1,other
190,J,47.689109802,-122.36466217,3,Theft,J2,other
191,D,47.622543335,-122.331718445,3,Theft,D3,other
192,J,47.693332672,-122.358009338,3,Property,J1,other
193,J,47.698741913,-122.354042053,3,Theft,J1,other
194,C,47.64540863,-122.304611206,3,Theft,C2,other
195,C,47.64540863,-122.304611206,3,Theft,C2,other
196,N,47.705795288,-122.346046448,3,Theft,N3,other
197,C,47.612884521,-122.289306641,3,Theft,C3,other
198,B,47.668819427,-122.332351685,3,Property,B3,other
199,N,47.725036621,-122.344993591,3,Theft,N2,other
200,J,47.672908783,-122.332221985,3,Theft,J3,other
201,J,47.678554535,-122.326835632,3,Theft,J3,other
202,J,47.678554535,-122.326835632,3,Theft,J3,other
203,Q,47.636562347,-122.356948853,3,Theft,Q2,other
204,B,47.661388397,-122.346382141,3,Theft,B3,other
205,F,47.523765564,-122.368667603,3,Theft,F2,other
206,F,47.523765564,-122.368667603,3,Theft,F2,other
207,R,47.5730896,-122.305725098,3,Theft,R1,other
208,M,47.612781525,-122.341545105,3,Property,M2,other
209,U,47.664012909,-122.315254211,3,Theft,U2,other
210,R,47.57509613,-122.31477356,3,Theft,R1,other
211,R,47.57509613,-122.31477356,3,Theft,R1,other
212,R,47.57509613,-122.31477356,3,Theft,R1,other
213,W,47.560211182,-122.385482788,3,Theft,W2,other
214,W,47.560211182,-122.385482788,3,Theft,W2,other
215,N,47.699710846,-122.374099731,3,Theft,N1,other
216,K,47.60004425,-122.335914612,3,Violence,K2,violence
217,K,47.60004425,-122.335914612,3,Violence,K2,violence
218,K,47.60004425,-122.335914612,3,Violence,K2,violence
219,K,47.60004425,-122.335914612,3,Violence,K2,violence
220,K,47.60004425,-122.335914612,3,Violence,K2,violence
221,E,47.619419098,-122.326568604,3,Theft,E1,other
222,E,47.619419098,-122.326568604,3,Theft,E1,other
223,E,47.612110138,-122.320762634,3,Theft,E2,other
224,W,47.546298981,-122.392547607,3,Violence,W3,violence
225,W,47.546298981,-122.392547607,3,Violence,W3,violence
226,E,47.623710632,-122.326591492,3,Property,E1,other
227,E,47.623710632,-122.326591492,3,Property,E1,other
228,E,47.624702454,-122.325317383,3,Violence,E1,violence
229,E,47.624702454,-122.325317383,3,Violence,E1,violence
230,E,47.624702454,-122.325317383,3,Violence,E1,violence
231,C,47.6158638,-122.309494019,3,Violence,C2,violence
232,C,47.6158638,-122.309494019,3,Violence,C2,violence
233,B,47.672367096,-122.38054657,3,Public Offense,B1,other
234,B,47.672367096,-122.38054657,3,Public Offense,B1,other
235,C,47.611579895,-122.301437378,3,Public Offense,C3,other
236,C,47.611579895,-122.301437378,3,Public Offense,C3,other
237,U,47.676700592,-122.308731079,3,Theft,U1,other
238,S,47.529129028,-122.269989014,3,Theft,S2,other
239,S,47.529129028,-122.269989014,3,Theft,S2,other
240,S,47.529129028,-122.269989014,3,Theft,S2,other
241,Q,47.624595642,-122.359977722,3,Property,Q3,other
242,B,47.669509888,-122.357086182,3,Theft,B2,other
243,U,47.662799835,-122.299858093,3,Property,U3,other
244,S,47.503982544,-122.259483337,3,Theft,S3,other
245,S,47.503982544,-122.259483337,3,Theft,S3,other
246,S,47.503982544,-122.259483337,3,Theft,S3,other
247,S,47.503982544,-122.259483337,3,Theft,S3,other
248,M,47.610908508,-122.335014343,3,Theft,M3,other
249,N,47.701393127,-122.362731934,3,Violence,N1,violence
250,C,47.651153564,-122.320892334,3,Theft,C1,other
251,U,47.663566589,-122.318389893,3,Violence,U2,violence
252,U,47.663566589,-122.318389893,3,Violence,U2,violence
253,W,47.560211182,-122.385482788,3,Theft,W2,other
254,W,47.560211182,-122.385482788,3,Theft,W2,other
255,W,47.560211182,-122.385482788,3,Theft,W2,other
256,W,47.560211182,-122.385482788,3,Theft,W2,other
257,B,47.673828125,-122.35534668,3,Theft,B2,other
258,J,47.69065094,-122.366630554,3,Public Offense,J1,other
259,J,47.69065094,-122.366630554,3,Public Offense,J1,other
260,U,47.650062561,-122.304397583,3,Property,U3,other
261,U,47.650062561,-122.304397583,3,Property,U3,other
262,R,47.557041168,-122.285385132,3,Fraud,R3,other
263,J,47.69065094,-122.366630554,3,Theft,J1,other
264,J,47.69065094,-122.366630554,3,Theft,J1,other
265,F,47.544044495,-122.369026184,3,Theft,F1,other
266,F,47.544044495,-122.369026184,3,Theft,F1,other
267,M,47.611904144,-122.335929871,3,Theft,M2,other
268,M,47.610744476,-122.338699341,3,Violence,M2,violence
269,M,47.610744476,-122.338699341,3,Violence,M2,violence
270,M,47.611904144,-122.335929871,3,Theft,M2,other
271,M,47.610744476,-122.338699341,3,Violence,M2,violence
272,M,47.610744476,-122.338699341,3,Violence,M2,violence
273,M,47.610744476,-122.338699341,3,Violence,M2,violence
274,M,47.610744476,-122.338699341,3,Violence,M2,violence
275,B,47.668674469,-122.38886261,3,Property,B1,other
276,B,47.668674469,-122.38886261,3,Property,B1,other
277,E,47.610534668,-122.327003479,3,Public Offense,E3,other
278,S,47.535926819,-122.27003479,3,Theft,S2,other
279,S,47.535926819,-122.27003479,3,Theft,S2,other
280,J,47.68548584,-122.353858948,3,Violence,J3,violence
281,J,47.68548584,-122.353858948,3,Violence,J3,violence
282,W,47.562911987,-122.386772156,3,Theft,W2,other
283,W,47.562911987,-122.386772156,3,Theft,W2,other
284,M,47.610908508,-122.335014343,3,Theft,M3,other
285,J,47.689243317,-122.401802063,3,Theft,J1,other
286,E,47.613235474,-122.329467773,3,Property,E3,other
287,E,47.613235474,-122.329467773,3,Property,E3,other
288,S,47.537044525,-122.282348633,3,Theft,S1,other
289,S,47.537044525,-122.282348633,3,Theft,S1,other
290,S,47.537044525,-122.282348633,3,Theft,S1,other
291,S,47.537044525,-122.282348633,3,Theft,S1,other
292,S,47.537044525,-122.282348633,3,Theft,S1,other
293,S,47.537044525,-122.282348633,3,Theft,S1,other
294,S,47.537044525,-122.282348633,3,Theft,S1,other
295,Q,47.637828827,-122.347099304,3,Theft,Q2,other
296,S,47.538913727,-122.293754578,3,Theft,S1,other
297,S,47.538913727,-122.293754578,3,Theft,S1,other
298,S,47.538913727,-122.293754578,3,Theft,S1,other
299,M,47.610179901,-122.335121155,3,Property,M3,other
300,C,47.651016235,-122.321708679,3,Theft,C1,other
301,C,47.651016235,-122.321708679,3,Theft,C1,other
302,C,47.651016235,-122.321708679,3,Theft,C1,other
303,E,47.614685059,-122.316848755,3,TRAFFIC,E2,other
304,K,47.600475311,-122.331573486,3,Theft,K2,other
305,K,47.606445313,-122.333236694,3,Drugs,K1,other
306,D,47.640960693,-122.342536926,3,Property,D2,other
307,W,47.569236755,-122.371818542,3,Fraud,W1,other
308,M,47.60925293,-122.337341309,3,Public Offense,M3,other
309,M,47.60925293,-122.337341309,3,Public Offense,M3,other
310,B,47.663585663,-122.347946167,3,Fraud,B2,other
311,B,47.663585663,-122.347946167,3,Fraud,B2,other
312,B,47.663585663,-122.347946167,3,Fraud,B2,other
313,B,47.669448853,-122.38054657,3,Theft,B1,other
314,C,47.61158371,-122.302085876,3,Violence,C3,violence
315,C,47.61158371,-122.302085876,3,Violence,C3,violence
316,C,47.61158371,-122.302085876,3,Violence,C3,violence
317,C,47.61158371,-122.302085876,3,Violence,C3,violence
318,C,47.61158371,-122.302085876,3,Violence,C3,violence
319,D,47.616634369,-122.352027893,3,Theft,D1,other
320,W,47.558353424,-122.376235962,3,Public Offense,W2,other
321,W,47.558353424,-122.376235962,3,Public Offense,W2,other
322,R,47.579673767,-122.299156189,3,Violence,R2,violence
323,R,47.579673767,-122.299156189,3,Violence,R2,violence
324,R,47.579673767,-122.299156189,3,Violence,R2,violence
325,R,47.579673767,-122.299156189,3,Violence,R2,violence
326,W,47.54743576,-122.377731323,3,Public Offense,W3,other
327,W,47.54743576,-122.377731323,3,Public Offense,W3,other
328,S,47.520141602,-122.272544861,3,Theft,S3,other
329,S,47.520141602,-122.272544861,3,Theft,S3,other
330,B,47.673873901,-122.353614807,3,Fraud,B2,other
331,J,47.692405701,-122.351295471,3,Theft,J1,other
332,J,47.692405701,-122.351295471,3,Theft,J1,other
333,Q,47.651237488,-122.385978699,3,Theft,Q1,other
334,C,47.611579895,-122.301437378,3,Public Offense,C3,other
335,K,47.606800079,-122.333564758,3,Theft,K1,other
336,W,47.549232483,-122.376350403,3,Theft,W2,other
337,W,47.549232483,-122.376350403,3,Theft,W2,other
338,W,47.549232483,-122.376350403,3,Theft,W2,other
339,W,47.549232483,-122.376350403,3,Theft,W2,other
340,L,47.702270508,-122.328514099,3,Theft,L2,other
341,B,47.651626587,-122.344009399,3,Theft,B3,other
342,Q,47.632728577,-122.348434448,3,Theft,Q2,other
343,B,47.651626587,-122.344009399,3,Theft,B3,other
344,R,47.579673767,-122.299156189,3,Public Offense,R2,other
345,R,47.579673767,-122.299156189,3,Public Offense,R2,other
346,R,47.579673767,-122.299156189,3,Public Offense,R2,other
347,R,47.579673767,-122.299156189,3,Public Offense,R2,other
348,W,47.558353424,-122.376235962,3,Property,W2,other
349,W,47.558353424,-122.376235962,3,Fraud,W2,other
350,Q,47.624576569,-122.354751587,3,Public Offense,Q3,other
351,Q,47.624576569,-122.354751587,3,Public Offense,Q3,other
352,W,47.579982758,-122.407051086,3,Public Offense,W1,other
353,W,47.579982758,-122.407051086,3,Public Offense,W1,other
354,M,47.610683441,-122.341957092,3,Theft,M1,other
355,R,47.571922302,-122.304908752,3,Fraud,R1,other
356,M,47.610683441,-122.341957092,3,Theft,M1,other
357,R,47.571922302,-122.304908752,3,Fraud,R1,other
358,M,47.610683441,-122.341957092,3,Theft,M1,other
359,M,47.610683441,-122.341957092,3,Theft,M1,other
360,M,47.610683441,-122.341957092,3,Theft,M1,other
361,L,47.708560944,-122.317855835,3,Violence,L1,violence
362,L,47.708560944,-122.317855835,3,Violence,L1,violence
363,N,47.7018013,-122.347343445,3,Property,N3,other
364,N,47.7018013,-122.347343445,3,Property,N3,other
365,N,47.7018013,-122.347343445,3,Property,N3,other
366,N,47.7018013,-122.347343445,3,Property,N3,other
367,K,47.605052948,-122.33656311,3,Theft,K1,other
368,K,47.605052948,-122.33656311,3,Theft,K1,other
369,K,47.605052948,-122.33656311,3,Theft,K1,other
370,U,47.662162781,-122.309509277,3,Property,U1,other
371,K,47.590309143,-122.329048157,3,Court Violation,K2,other
372,K,47.590309143,-122.329048157,3,Court Violation,K2,other
373,K,47.590309143,-122.329048157,3,Court Violation,K2,other
374,K,47.590309143,-122.329048157,3,Court Violation,K2,other
375,K,47.590309143,-122.329048157,3,Court Violation,K2,other
376,K,47.603694916,-122.329185486,3,Public Offense,K1,other
377,K,47.603694916,-122.329185486,3,Public Offense,K1,other
378,F,47.518192291,-122.34160614,3,Property,F3,other
379,Q,47.65568161,-122.386238098,3,Property,Q1,other
380,Q,47.65568161,-122.386238098,3,Property,Q1,other
381,W,47.568424225,-122.370765686,3,Theft,W1,other
382,W,47.568424225,-122.370765686,3,Theft,W1,other
383,W,47.568424225,-122.370765686,3,Theft,W1,other
384,Q,47.640037537,-122.398979187,3,Property,Q1,other
385,U,47.686676025,-122.307312012,3,Theft,U1,other
386,O,47.587200165,-122.325973511,3,Theft,O1,other
387,O,47.587200165,-122.325973511,3,Theft,O1,other
388,O,47.576652527,-122.334205627,3,Property,O1,other
389,O,47.576652527,-122.334205627,3,Property,O1,other
390,Q,47.637699127,-122.389678955,3,Theft,Q1,other
391,N,47.691295624,-122.347213745,3,Theft,N3,other
392,N,47.691295624,-122.347213745,3,Theft,N3,other
393,N,47.691295624,-122.347213745,3,Theft,N3,other
394,N,47.691295624,-122.347213745,3,Theft,N3,other
395,N,47.691295624,-122.347213745,3,Theft,N3,other
396,R,47.584098816,-122.30255127,3,Theft,R2,other
397,R,47.584098816,-122.30255127,3,Theft,R2,other
398,R,47.584098816,-122.30255127,3,Theft,R2,other
399,R,47.584098816,-122.30255127,3,Theft,R2,other
400,R,47.584098816,-122.30255127,3,Theft,R2,other
401,L,47.726570129,-122.303665161,3,Fraud,L1,other
402,L,47.726570129,-122.303665161,3,Fraud,L1,other
403,L,47.726570129,-122.303665161,3,Fraud,L1,other
404,L,47.726570129,-122.303665161,3,Fraud,L1,other
405,B,47.662246704,-122.324020386,3,Theft,B3,other
406,B,47.662246704,-122.324020386,3,Theft,B3,other
407,Q,47.658493042,-122.400894165,3,Fraud,Q1,other
408,E,47.616172791,-122.327888489,3,Theft,E1,other
409,E,47.616172791,-122.327888489,3,Theft,E1,other
410,J,47.689243317,-122.401802063,3,Theft,J1,other
411,J,47.689243317,-122.401802063,3,Theft,J1,other
412,J,47.68031311,-122.35395813,3,Theft,J3,other
413,W,47.562007904,-122.386779785,3,Theft,W2,other
414,J,47.689243317,-122.401802063,3,Property,J1,other
415,N,47.712310791,-122.342124939,3,Court Violation,N2,other
416,O,47.571327209,-122.339668274,3,Court Violation,O2,other
417,L,47.703556061,-122.317756653,3,Fraud,L2,other
418,L,47.703556061,-122.317756653,3,Fraud,L2,other
419,C,47.619960785,-122.313911438,3,Theft,C1,other
420,C,47.619960785,-122.313911438,3,Theft,C1,other
421,B,47.672828674,-122.354377747,3,Theft,B2,other
422,B,47.672828674,-122.354377747,3,Theft,B2,other
423,B,47.672828674,-122.354377747,3,Theft,B2,other
424,B,47.672828674,-122.354377747,3,Theft,B2,other
425,R,47.563457489,-122.288009644,3,Theft,R3,other
426,R,47.563457489,-122.288009644,3,Theft,R3,other
427,R,47.563457489,-122.288009644,3,Theft,R3,other
428,R,47.563457489,-122.288009644,3,Theft,R3,other
429,R,47.563457489,-122.288009644,3,Theft,R3,other
430,K,47.60477066,-122.330169678,3,Theft,K1,other
431,K,47.60477066,-122.330169678,3,Theft,K1,other
432,K,47.60477066,-122.330169678,3,Theft,K1,other
433,B,47.673290253,-122.358474731,3,Theft,B2,other
434,B,47.673290253,-122.358474731,3,Theft,B2,other
435,R,47.579673767,-122.299156189,3,Public Offense,R2,other
436,R,47.579673767,-122.299156189,3,Public Offense,R2,other
437,G,47.605705261,-122.319412231,3,Public Offense,G1,other
438,G,47.605705261,-122.319412231,3,Public Offense,G1,other
